gene,status,prob_rf,prob_logit_Ada,pred_rf,pred_logit_PR,SUM_PR
LOC_Os02g42134,0,0.490317,0.028110321,0,0,0
LOC_Os09g35970,0,0.52991,0.296798177,0,0,0
LOC_Os11g06750,0,0.486389,1,0,1,1
LOC_Os02g10060,0,0.492544,0.993886216,0,1,1
LOC_Os06g43850,1,0.827992,1,1,1,2
LOC_Os02g05630,0,0.484626,0.025379675,0,0,0
LOC_Os10g34670,0,0.427741,0.001097474,0,0,0
LOC_Os06g03682,0,0.502483,1,0,1,1
LOC_Os09g02810,0,0.495325,0.001645083,0,0,0
LOC_Os05g47630,0,0.512209,0.015155117,0,0,0
LOC_Os09g31486,0,0.501923,0.986244956,0,1,1
